across; art,1;basketball,2;beauty,11;fashion,4;films,1;gossip,2;health,5;nature,10;politics,5;travel,2;university,8
acrylonitril; nature,1;technology,1
acryloyl; health,1
act; art,94;basketball,16;beauty,68;fashion,12;films,54;football,60;gossip,91;health,64;nature,42;politics,35;technology,24;travel,71;university,20
actin; health,1
actinid; nature,3
actionaid; gossip,2
actively—aesthetical; beauty,1
activewear; fashion,2
acton; beauty,1;politics,3
actress; films,2;technology,1
actu; technology,2
acum; beauty,1
acut; health,17
acyl; health,1
ad; art,12;basketball,9;beauty,8;fashion,9;films,10;gossip,2;health,6;nature,9;politics,15;technology,14;travel,3;university,18
adaf; art,1
adam; art,182;beauty,8;football,96;gossip,2;health,1;nature,5;politics,118;technology,2;travel,4
adamadam; football,24
adamah; art,3
adamantio; politics,1
adamit; art,1
adamsmi; politics,2
adamson; health,1
adam–god; art,1
adap; art,1
adapt; art,1;fashion,1;films,1;gossip,4;health,5;nature,11;politics,4;technology,19;travel,2;university,4
adas; art,1
adauto; football,12
adawiyy; gossip,1
addam; beauty,1
addend; technology,2
addict; health,1;technology,1
addison; nature,1
addit; art,6;basketball,6;beauty,5;fashion,2;films,10;gossip,3;health,13;nature,7;politics,7;technology,75;travel,6;university,29
address; art,4;beauty,28;fashion,2;films,1;gossip,2;health,1;nature,5;politics,2;technology,18;university,7
address”; technology,1
adduc; gossip,1
addy; nature,1
adecco; basketball,1
adelaid; basketball,85
adem; art,1
ademir; football,24
adenin; nature,9
adenosin; nature,3
adenosyl; nature,1
adenosylmethionin; nature,1
adenovir; health,2
adept; beauty,1;politics,1
adequ; beauty,1;health,2;nature,1;travel,1
adfm; technology,1
adh; basketball,2;beauty,2;fashion,1;gossip,1;health,7;politics,1;technology,1
adhd; health,1
adher; films,1;gossip,1;technology,3
adhocr; politics,25
adib; art,2
adil; football,12
adiladil; football,12
adin; beauty,2
adipapam; art,1
adjac; beauty,1;health,1;nature,1;technology,1
adject; beauty,2;travel,4
adjust; fashion,1;health,1;politics,2;technology,2
admin; art,2;beauty,6;gossip,11;health,9;nature,1;politics,27;technology,4;university,23
administration—featuring; beauty,1
admir; art,2;beauty,3
admit; art,1;beauty,7;films,1;nature,1;politics,2;university,22
admon; art,1
adolesc; gossip,1;health,8
adolf; art,2;nature,1;politics,1
adolph; art,15;basketball,2
adom; art,1
adopt; art,2;basketball,1;beauty,5;fashion,4;films,5;health,5;nature,4;politics,11;technology,6;university,9
adorn; beauty,21;fashion,19;university,1
adorno; art,3;beauty,3;fashion,1;films,2
adox; films,1
adr; basketball,1;nature,2;technology,3;travel,1
adrian; health,1
adriano; football,60
adrianopl; art,1
adroit; art,1;beauty,1
adry; basketball,1;politics,1
adserà; gossip,2
adsorb; nature,1
adsph; travel,1
adult; beauty,4;fashion,1;gossip,5;health,33;politics,1;technology,1;travel,1;university,4
adv; art,16;basketball,7;beauty,7;fashion,5;films,33;gossip,5;health,11;nature,32;politics,9;technology,38;travel,42;university,31
advait; gossip,1
adventd; travel,2
adventuretravel; travel,1
advers; basketball,1;beauty,1;health,9;politics,1;university,2
advert; art,2;basketball,1;beauty,3;fashion,4;films,8;gossip,1;health,2;travel,2;university,1
advoc; art,3;basketball,3;beauty,6;films,1;gossip,2;politics,9;technology,2;travel,1;university,4
adz; technology,1
adán; art,1;football,12
ae; health,4;travel,1;university,1
aec; technology,1
aeg; technology,1;university,1
aeol; technology,1
aer; films,2;health,1;nature,1;travel,65
aero; travel,1
aerob; health,1;nature,3
aerodrom; travel,1
aerogel; technology,3
aerolog; health,1
aeroscraft; technology,3
aerosol; health,2
aerospac; technology,4
aesop; beauty,1
aesthet; art,70;beauty,51;fashion,5;films,2;gossip,2;nature,4;technology,3;travel,1
af; nature,1;university,1
afaf; university,2
afam; university,6
afc; football,24
affair; art,2;basketball,1;beauty,7;gossip,2;politics,10;travel,3;university,9
affect; art,5;beauty,3;fashion,4;films,3;gossip,18;health,22;nature,8;politics,11;university,7
affiliated; basketball,1
affin; health,1;nature,3
affirm; art,2;gossip,2
affix; basketball,1;films,1
afflu; art,2;fashion,2;politics,2
afford; art,2;fashion,3;films,3;health,1;politics,3;technology,6
affy; basketball,1;beauty,1;fashion,1;films,1;football,24;gossip,1;nature,1;university,1
afgestudeerd; university,1
afgh; art,2;health,1;university,1
afield; fashion,2
afmc; health,1
afp; nature,1;technology,1
afp089; health,1
afr; art,7;basketball,6;beauty,7;films,2;football,24;gossip,1;health,12;nature,1;politics,1;technology,1;university,2
afra; travel,1
afraid; art,2
afric; basketball,8;beauty,1;films,1;football,48;health,39;nature,3;politics,2;technology,2;travel,3;university,14
african; nature,1
africa←earliest; nature,1
afro; films,1
afrobasket; basketball,2
afterma; beauty,2;university,1
aftermathu; beauty,1
afternoon; art,4;beauty,1;health,1;nature,2
afterward; art,2;basketball,1;beauty,2;football,12;politics,2;university,1
ag; art,30;basketball,3;beauty,22;fashion,27;films,6;gossip,12;health,41;nature,22;politics,29;technology,18;travel,5;university,38
agach; art,1
again…; art,1
agass; beauty,1
agencyc; politics,2
agend; films,1;gossip,1;university,1
agenda; gossip,1;university,1
agents—how; health,1
agf; films,2
aggad; art,1
aggreg; beauty,1;fashion,1;gossip,1;health,1;nature,2
aggress; basketball,2;beauty,1;gossip,13
aggriev; beauty,1;gossip,1
aghanim; nature,1
agil; basketball,1;technology,8
agin; gossip,2
agit; beauty,2
agitation—the; nature,1
agn; art,4
agnew; beauty,1
agnost; technology,1
ago; art,4;beauty,1;health,11;nature,21;politics,1;technology,6;university,1
agony; beauty,1
agr; art,1;beauty,6;gossip,4;nature,4;politics,3;technology,2;travel,5;university,9
agree; basketball,3;beauty,6;films,1;university,1
agricult; art,2;basketball,2;beauty,3;gossip,1;health,4;nature,6;politics,3;technology,9;travel,1;university,3
agrippin; gossip,2
agrito; travel,5
agronom; health,1;travel,1
aguil; football,24
agulto; university,2
agustín; football,48
ah; health,1;nature,1;politics,1
ahead; films,1;football,24;gossip,1;technology,2;university,1
ahims; gossip,4
ahm; art,2;technology,1
ahmad; art,3;gossip,1
ahmadiyy; art,3
ahr; health,1
ahuj; nature,1
ai; basketball,13;health,1;politics,1
aia; technology,1
aid; beauty,2;fashion,2;films,1;gossip,7;health,257;nature,2;politics,4;technology,7;travel,1;university,1
aidsh; health,1
aidsinfo; health,2
aidsmesh; health,1
aids—the; health,1
aig; fashion,1
aiguil; travel,1
aileen; fashion,1
aim; art,6;beauty,7;fashion,2;films,1;gossip,2;health,2;nature,2;technology,10;travel,2;university,3
aip; nature,2
air; art,4;basketball,5;films,3;gossip,1;health,54;nature,5;politics,5;technology,10;travel,13
airb; technology,3
airbnb; technology,1
airborn; basketball,1;films,1;technology,3
aircraft; health,5;politics,7;travel,8
aircrew; travel,1
airless; technology,3
airlin; health,1;travel,18
airpl; technology,1;travel,3
airport; travel,15
airsh; health,2;travel,1
airsoft; basketball,1
airspac; nature,1
airstair; travel,1
airway; travel,1
aish; nature,1
aisl; art,1;beauty,1
aith; health,1
aitorait; football,12
ajax; politics,2
ajcn; health,1
ajph; health,2
ak; art,2;beauty,1;technology,1
aka; technology,1
akademe; university,1
akademo; university,1
akag; health,1
akhmatov; art,2
akil; nature,1
akin; art,2;nature,1;university,1
akizum; nature,1
akl; health,1
akselrod; technology,1
al; art,16;basketball,6;beauty,16;fashion,2;films,7;football,144;gossip,8;health,29;nature,57;politics,47;technology,15;travel,3;university,9
ala; basketball,1
alabam; basketball,1;beauty,5;technology,1
alabandit; nature,1
alagoa; football,24
alain; football,60;politics,1;technology,3
alainalain; football,36
alaind; football,12
alamed; health,9
alanin; nature,1
alarm; beauty,1
alask; art,1;beauty,1;travel,1
alb; art,6;fashion,4;football,12;nature,1;technology,1
alban; basketball,1;football,48;university,1
albany; art,4;basketball,1
albedo; nature,1
albeit; art,5;travel,1
albeld; football,12
albert; art,15;basketball,17;beauty,4;football,24;gossip,2;politics,1;technology,4
albertalbert; football,24
alberto; art,2;football,48;nature,1
albertoalberto; football,12
albertojulio; football,12
albin; health,1
albiol; football,36
albrecht; fashion,2;nature,1
albright–knox; art,2
album; art,1
albuquerqu; travel,2
alcab; health,1
alcalay; art,2
alcalisat; health,1
alcatel; technology,1
alcest; beauty,1
alchym; health,1
alciat; university,1
alcofol; health,1
alcohol; beauty,1;health,214;nature,2
alcohols—those; health,1
alcopley; art,2
alcorn; beauty,2
alcántar; football,36
ald; technology,1
aldair; football,24
aldehyd; health,13;nature,1
aldershot; university,1
aldert; beauty,1
aldington; art,2
aldrich; art,4;beauty,1;health,1
aleid; university,1
alejandro; football,12;nature,1
alejandroalejandro; football,12
aleksand; nature,2
alembert; politics,2
alemão; football,24
alen; technology,1
alert; health,2
alessandro; nature,1
alex; basketball,1;football,24;nature,1;politics,1;technology,82
alexalex; football,24
alexand; art,12;beauty,7;fashion,13;football,60;health,1;nature,10;politics,2;technology,6;university,3
alexandr; art,6;basketball,7;football,48;nature,1;technology,3;university,1
alexandrealexandr; football,12
alexanko; football,36
alexe; nature,2
alexeev; basketball,1
alfalf; football,12
alfaro; art,4
alfonso; football,24
alfonsoalfonso; football,12
alfr; art,22;fashion,2;football,48;gossip,1;politics,4
alfredalfr; football,24
alfredo; football,48
alfredoalfredo; football,12
alfvén; nature,1
alga; health,1;nature,4
alger; basketball,1;football,36;university,1
algorithm; fashion,1
algy; politics,1
alibert; health,1
alicyc; health,1
align; gossip,1;technology,1
alik; basketball,1;beauty,1;fashion,1;gossip,1;politics,1
alimont; health,1
alinsky; politics,1
aliph; health,3
alis; beauty,1
alk; health,16
alkalin; nature,4;technology,1
alkaloid; health,1
alkort; football,36
alkoxid; health,8
alkoxy; health,1
alkuh; health,1
alkyl; health,15
alkyn; health,1
allah; gossip,4;politics,1
allamandol; nature,2
allanal; football,24
alleg; art,8;beauty,3;gossip,1;politics,3;university,1
allegy; beauty,1;politics,51;university,1
allenpress; health,2
allergy; health,1
allerton; nature,1
allevy; nature,1;university,1
alley; basketball,1
alleyway; basketball,1
allig; technology,1
allison; technology,1
allm; basketball,1
allmovy; films,1
alloc; politics,1;university,2
allometry; nature,1
allot; art,1;basketball,1
allov; art,4
allow; art,2;basketball,13;beauty,6;fashion,8;films,24;gossip,4;health,9;nature,15;politics,6;technology,41;travel,4;university,18
alloy; technology,12
