User;UserID;TweetId;LABEL;Is this a RT?;Is there an URL?;Has it been RT?;Has it been replied?;is it  a reply?;#ofREPLIES;#ofRT;#ofFollowers;#ofFollowings;#ofStatuses
PaigieyPie;1436532092;727330643642823000;R;YES;NO;NO;NO;NO;0;0;1296;92;170
YoungRaheem;2988820211;727330349374693000;R;YES;NO;NO;NO;NO;0;0;1010;401;540
vjseymour;608694463;727330057551639000;R;YES;NO;NO;NO;NO;0;0;29387;401;1135
yolettegarcia;20711572;727329976102490000;R;YES;NO;NO;NO;NO;0;0;1508;287;393
DelfiDori;2571435070;727329862239789000;R;YES;NO;NO;NO;NO;0;0;2716;185;249
t1v1018;1869172716;727329806002610000;R;YES;NO;NO;NO;NO;0;0;106872;661;502
BarneyOfficial2;3284306234;727329701501379000;R;YES;NO;NO;NO;NO;0;0;3052;370;369
sarawoods__;1452509083;727329643880042000;R;YES;NO;NO;NO;NO;0;0;9568;617;421
_AStoryUntold;2894720679;727329621889417000;R;YES;NO;NO;NO;NO;0;0;2852;94;113
Moezone1978;119220061;727329537835545000;R;YES;NO;NO;NO;NO;0;0;668;76;304
djrstorm;485333601;727329482290295000;R;YES;NO;NO;NO;NO;0;0;24202;7984;1767
tiashsaha07;707058902609695000;727329417291162000;NR;YES;YES;NO;NO;NO;0;0;129;45;67
kenzgrondahl;59522206;727329388790952000;NR;YES;YES;NO;NO;NO;0;0;8228;285;524
kaizen985;2908014509;727329081088467000;R;YES;NO;NO;NO;NO;0;0;11480;453;912
RecrtManager;3044896222;727327835556303000;NR;NO;YES;NO;NO;NO;0;0;21017;103;8
TWCNewsAustin;16318652;727326100829798000;NR;NO;YES;NO;NO;NO;0;0;55936;46626;8430
c_w_henderson;64579391;727325843639267000;R;YES;NO;NO;NO;NO;0;0;41;19;102
santhidemo;33409488;727323698705908000;R;NO;NO;NO;NO;NO;0;0;8649;220;205
Nutri_Claudine;465514030;727321474080641000;R;NO;NO;NO;NO;YES;0;0;5686;1008;2080
ReedSchafer;15191701;727321205783450000;NR;NO;NO;NO;YES;NO;1;0;389;71;237
sciencedude340;2443828560;727320280205529000;R;NO;NO;NO;NO;NO;0;0;146;103;213
itsWanda;483223;727319939007308000;R;YES;YES;NO;NO;NO;0;0;314041;4513;3360
mommadona;16190045;727319448185528000;R;NO;YES;YES;NO;NO;0;1;362107;4727;2678
bettycjung;118788479;727319404514542000;R;NO;YES;NO;NO;NO;0;0;40575;343;88
bidprime;18322517;727319327892976000;NR;NO;YES;NO;NO;NO;0;0;2153;1533;551
akimparabi;444424199;727319234980631000;R;YES;NO;NO;NO;NO;0;0;6097;277;449
bettycjung;118788479;727318826484961000;R;NO;YES;NO;NO;NO;0;0;40575;343;88
1rgoldy;2699118649;727318825448968000;R;YES;NO;NO;NO;NO;0;0;9484;125;191
bettycjung;118788479;727317058686488000;R;NO;YES;NO;NO;NO;0;0;40575;343;88
FoxxMediaGroup;561547819;727316420292301000;R;NO;NO;NO;NO;YES;0;0;4840;475;1233
KinolaiHealth;3041054075;727315266946757000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727315264765731000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727315263830430000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727315262404481000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
vanirang;15162857;727314618419302000;R;YES;YES;NO;NO;NO;0;0;208;125;198
BugDoc100;1162729128;727313604928659000;R;NO;YES;NO;NO;NO;0;0;36;16;115
EMompremier;392002981;727313423894204000;NR;YES;YES;NO;NO;NO;0;0;1677;32;122
craig1438;2436153020;727312117733450000;NR;YES;YES;NO;NO;NO;0;0;2579;672;4357
jmmatinezplaza;560064851;727311395566543000;NR;NO;YES;NO;NO;NO;0;0;1610;231;302
HeyAyeHay;723899029654921000;727310257613992000;NR;YES;YES;NO;NO;NO;0;0;301;16;68
ZikaVirusNews;4579860622;727308648905462000;R;NO;YES;NO;NO;NO;0;0;1791;23;0
msincan;18270526;727307669929865000;NR;YES;YES;NO;NO;NO;0;0;89;37;183
MaiBo97;236811426;727305815401460000;R;YES;NO;NO;NO;NO;0;0;4696;146;123
frostxsun;4719078579;727305206782919000;NR;NO;YES;NO;NO;NO;0;0;225;154;257
SutherlandJames;308461897;727303679745876000;NR;YES;YES;NO;NO;NO;0;0;1448;60;219
tdayres;50555313;727303451395416000;NR;YES;YES;NO;NO;NO;0;0;2405;65;90
MaureenSRN;488519273;727297759271858000;NR;YES;YES;NO;NO;NO;0;0;47307;9186;10104
HotpageNews;1011339350;727297745858531000;NR;NO;YES;NO;NO;NO;0;0;74096;231;346
BeginwiththeEnd;617259297;727297684323754000;NR;YES;YES;NO;NO;NO;0;0;1314;44;130
Iputheassincass;29529519;727297529138672000;NR;YES;YES;NO;NO;NO;0;0;519;89;220
aurorasdawny1;2266240194;727297399971000000;NR;YES;YES;NO;NO;NO;0;0;1107;58;107
