acid;fashion,1;health,35;nature,76;technology,3
ack;films,1
acknowledg;art,4;basketball,1;beauty,1;fashion,1;gossip,3;health,1;university,1
ackroyd;films,1
acm;art,2;technology,1;university,1
aco;travel,1
acost;politics,11
acoust;nature,6;technology,1
acprof;gossip,2;politics,11
acquaint;gossip,1
acquir;art,4;beauty,3;fashion,1;football,11;gossip,2;health,18;nature,5;politics,22;technology,2;travel,1;university,4
acquisit;art,2;health,3;nature,2;politics,22;technology,2
acquit;beauty,2;politics,22
acr;beauty,8;films,1;football,22
acronym;basketball,1
acropol;basketball,1
across;art,1;basketball,2;beauty,11;fashion,4;films,1;gossip,2;health,5;nature,10;politics,44;travel,2;university,8
acrylonitril;nature,1;technology,1
acryloyl;health,1
act;art,94;basketball,16;beauty,68;fashion,12;films,54;football,55;gossip,91;health,64;nature,42;politics,748;technology,24;travel,71;university,20
actin;health,1
actinid;nature,3
actionaid;gossip,2
actively—aesthetical;beauty,1
activewear;fashion,2
activistfrom;politics,22
acton;beauty,1;politics,33
actress;films,2;technology,1
actu;technology,2
acum;beauty,1
acut;health,17
acyl;health,1
ad;art,12;basketball,9;beauty,8;fashion,9;films,10;gossip,2;health,6;nature,9;politics,55;technology,14;travel,3;university,18
adach;politics,11
adaf;art,1
adam;art,182;beauty,8;football,88;gossip,2;health,1;nature,5;politics,66;technology,2;travel,4
adamadam;football,22
adamah;art,3
adamit;art,1
adamson;health,1
adam–god;art,1
adap;art,1
adapt;art,1;fashion,1;films,1;gossip,4;health,5;nature,11;politics,22;technology,19;travel,2;university,4
adas;art,1
adauto;football,11
adawiyy;gossip,1
addam;beauty,1
addend;technology,2
addict;health,1;technology,1
addison;nature,1
addit;art,6;basketball,6;beauty,5;fashion,2;films,10;gossip,3;health,13;nature,7;politics,77;technology,75;travel,6;university,29
addouh;politics,11
address;art,4;beauty,28;fashion,2;films,1;gossip,2;health,1;nature,5;politics,22;technology,18;university,7
address”;technology,1
adduc;gossip,1
addy;nature,1
adecco;basketball,1
adelaid;basketball,85
adem;art,1
ademir;football,22
adenin;nature,9
adenosin;nature,3
adenosyl;nature,1
adenosylmethionin;nature,1
adenovir;health,2
adept;beauty,1
adequ;beauty,1;health,2;nature,1;travel,1
adfm;technology,1
adh;basketball,2;beauty,2;fashion,1;gossip,1;health,7;technology,1
adhd;health,1
adher;films,1;gossip,1;technology,3
adhocr;politics,22
adib;art,2
adil;football,11
adiladil;football,11
adin;beauty,2
adipapam;art,1
adjac;beauty,1;health,1;nature,1;technology,1
adject;beauty,2;travel,4
adjunct;politics,11
adjust;fashion,1;health,1;technology,2
admin;art,2;beauty,6;gossip,11;health,9;nature,1;politics,418;technology,4;university,23
administration—featuring;beauty,1
admir;art,2;beauty,3;politics,11
admit;art,1;beauty,7;films,1;nature,1;politics,33;university,22
admon;art,1
adolesc;gossip,1;health,8
adolf;art,2;nature,1
adolph;art,15;basketball,2
adom;art,1
adopt;art,2;basketball,1;beauty,5;fashion,4;films,5;health,5;nature,4;politics,121;technology,6;university,9
adorn;beauty,21;fashion,19;university,1
adorno;art,3;beauty,3;fashion,1;films,2
adox;films,1
adr;basketball,1;nature,2;politics,22;technology,3;travel,1
adrian;health,1
adriano;football,55
adrianopl;art,1
adroit;art,1;beauty,1
adry;basketball,1
adserà;gossip,2
adsorb;nature,1
adsph;travel,1
aduaner;politics,11
adult;beauty,4;fashion,1;gossip,5;health,33;technology,1;travel,1;university,4
adulyades;politics,11
adv;art,16;basketball,7;beauty,7;fashion,5;films,33;gossip,5;health,11;nature,32;politics,176;technology,38;travel,42;university,31
advait;gossip,1
adventd;travel,2
adventuretravel;travel,1
advers;basketball,1;beauty,1;health,9;politics,11;university,2
advert;art,2;basketball,1;beauty,3;fashion,4;films,8;gossip,1;health,2;politics,11;travel,2;university,1
advoc;art,3;basketball,3;beauty,6;films,1;gossip,2;politics,11;technology,2;travel,1;university,4
adz;technology,1
adzynb;politics,11
adán;art,1;football,11
ae;health,4;travel,1;university,1
aec;technology,1
aeg;technology,1;university,1
aeol;technology,1
aer;films,2;health,1;nature,1;travel,65
aero;travel,1
aerob;health,1;nature,3
aerodrom;travel,1
aerogel;technology,3
aerolog;health,1
aeroscraft;technology,3
aerosol;health,2
aerospac;technology,4
aesop;beauty,1
aesthet;art,70;beauty,51;fashion,5;films,2;gossip,2;nature,4;technology,3;travel,1
af;nature,1;university,1
afaf;university,2
afam;university,6
afc;football,22
afeg;politics,11
affair;art,2;basketball,1;beauty,7;gossip,2;politics,154;travel,3;university,9
affect;art,5;beauty,3;fashion,4;films,3;gossip,18;health,22;nature,8;politics,33;university,7
affiliated;basketball,1
affin;health,1;nature,3
affirm;art,2;gossip,2
affix;basketball,1;films,1
afflu;art,2;fashion,2
afford;art,2;fashion,3;films,3;health,1;politics,11;technology,6
affy;basketball,1;beauty,1;fashion,1;films,1;football,22;gossip,1;nature,1;university,1
afgestudeerd;university,1
afgh;art,2;health,1;politics,88;university,1
afield;fashion,2
afmc;health,1
afp;nature,1;technology,1
afp089;health,1
afr;art,7;basketball,6;beauty,7;films,2;football,22;gossip,1;health,12;nature,1;politics,99;technology,1;university,2
afra;travel,1
afraid;art,2
afric;basketball,8;beauty,1;films,1;football,44;health,39;nature,3;politics,121;technology,2;travel,3;university,14
africahead;politics,11
african;nature,1
africa←earliest;nature,1
afro;films,1
afrobasket;basketball,2
afterma;beauty,2;university,1
aftermathu;beauty,1
afternoon;art,4;beauty,1;health,1;nature,2
afterward;art,2;basketball,1;beauty,2;football,11;university,1
afwerk;politics,22
ag;art,30;basketball,3;beauty,22;fashion,27;films,6;gossip,12;health,41;nature,22;politics,77;technology,18;travel,5;university,38
agach;art,1
again…;art,1
agass;beauty,1
agend;films,1;gossip,1;university,1
agenda;gossip,1;university,1
agents—how;health,1
agf;films,2
aggad;art,1
aggreg;beauty,1;fashion,1;gossip,1;health,1;nature,2;politics,22
aggress;basketball,2;beauty,1;gossip,13
aggriev;beauty,1;gossip,1
aghanim;nature,1
agil;basketball,1;technology,8
agin;gossip,2
agit;beauty,2
agitation—the;nature,1
agn;art,4
agnadello;politics,11
agnew;beauty,1
agnost;technology,1
ago;art,4;beauty,1;health,11;nature,21;politics,33;technology,6;university,1
agong;politics,33
agony;beauty,1
agostinho;politics,22
agr;art,1;beauty,6;gossip,4;nature,4;politics,11;technology,2;travel,5;university,9
agree;basketball,3;beauty,6;films,1;politics,11;university,1
agricult;art,2;basketball,2;beauty,3;gossip,1;health,4;nature,6;politics,11;technology,9;travel,1;university,3
agrippin;gossip,2
agrito;travel,5
agronom;health,1;travel,1
aguil;football,22;politics,22
agulto;university,2
agustín;football,44
ah;health,1;nature,1
ahead;films,1;football,22;gossip,1;politics,11;technology,2;university,1
ahims;gossip,4
ahm;art,2;politics,33;technology,1
ahmad;art,3;gossip,1;politics,33
ahmadiyy;art,3
ahmet;politics,11
ahn;politics,22
ahr;health,1
ahuj;nature,1
ai;basketball,13;health,1
aia;technology,1
aid;beauty,2;fashion,2;films,1;gossip,7;health,257;nature,2;politics,33;technology,7;travel,1;university,1
aidsh;health,1
aidsinfo;health,2
aidsmesh;health,1
aids—the;health,1
aig;fashion,1
aiguil;travel,1
aileen;fashion,1
aim;art,6;beauty,7;fashion,2;films,1;gossip,2;health,2;nature,2;politics,11;technology,10;travel,2;university,3
aiono;politics,22
aip;nature,2
air;art,4;basketball,5;films,3;gossip,1;health,54;nature,5;technology,10;travel,13
airb;technology,3
airbnb;technology,1
airborn;basketball,1;films,1;technology,3
aircraft;health,5;travel,8
aircrew;travel,1
airless;technology,3
airlin;health,1;travel,18
airpl;technology,1;travel,3
airport;politics,11;travel,15
airsh;health,2;travel,1
airsoft;basketball,1
airspac;nature,1
airstair;travel,1
airway;travel,1
aish;nature,1
aisl;art,1;beauty,1
aith;health,1
aitorait;football,11
ajamu;politics,33
ajcn;health,1
ajph;health,2
ak;art,2;beauty,1;technology,1
aka;technology,1
akademe;university,1
akademo;university,1
akag;health,1
akhmatov;art,2
akihito;politics,22
akil;nature,1
akin;art,2;nature,1;university,1
akizum;nature,1
akl;health,1;politics,11
akp;politics,11
akselrod;technology,1
akıncı;politics,22
al;art,16;basketball,6;beauty,16;fashion,2;films,7;football,132;gossip,8;health,29;nature,57;politics,880;technology,15;travel,3;university,9
ala;basketball,1
alabam;basketball,1;beauty,5;politics,429;technology,1
alabandit;nature,1
alagoa;football,22
alain;football,55;politics,22;technology,3
alainalain;football,33
alaind;football,11
alamed;health,9
alanin;nature,1
alarm;beauty,1
alask;art,1;beauty,1;politics,187;travel,1
alass;politics,22
alay;politics,11
alb;art,6;fashion,4;football,11;nature,1;technology,1
alban;basketball,1;football,44;politics,88;university,1
albany;art,4;basketball,1
albedo;nature,1
albeit;art,5;travel,1
albeld;football,11
albert;art,15;basketball,17;beauty,4;football,22;gossip,2;politics,44;technology,4
albertalbert;football,22
alberto;art,2;football,44;nature,1
albertoalberto;football,11
albertojulio;football,11
albin;health,1
albinsk;politics,11
albiol;football,33
albrecht;fashion,2;nature,1
albright–knox;art,2
album;art,1
albuquerqu;travel,2
alcab;health,1
alcalay;art,2
alcalisat;health,1
alcatel;technology,1
alcest;beauty,1
alchym;health,1
alciat;university,1
alcofol;health,1
alcohol;beauty,1;health,214;nature,2
alcohols—those;health,1
alcopley;art,2
alcorn;beauty,2
alcántar;football,33
ald;politics,11;technology,1
aldair;football,22
aldehyd;health,13;nature,1
aldershot;university,1
aldert;beauty,1
aldington;art,2
aldrich;art,4;beauty,1;health,1
aleid;university,1
alejandro;football,11;nature,1;politics,22
alejandroalejandro;football,11
aleksand;nature,2;politics,22
alemão;football,22
alen;technology,1
alert;health,2
alessandro;nature,1
alex;basketball,1;football,22;nature,1;politics,44;technology,82
alexalex;football,22
alexand;art,12;beauty,7;fashion,13;football,55;health,1;nature,10;politics,66;technology,6;university,3
alexandr;art,6;basketball,7;football,44;nature,1;politics,11;technology,3;university,1
alexandrealexandr;football,11
alexanko;football,33
alexe;nature,2
alexeev;basketball,1
alfalf;football,11
alfaro;art,4
alfonso;football,22
alfonsoalfonso;football,11
alfr;art,22;fashion,2;football,44;gossip,1
alfredalfr;football,22
alfredo;football,44
alfredoalfredo;football,11
alfvén;nature,1
alga;health,1;nature,4
alger;basketball,1;football,33;politics,66;university,1
algirda;politics,22
algorithm;fashion,1
alianz;politics,11
alibert;health,1
alicyc;health,1
align;gossip,1;technology,1
alik;basketball,1;beauty,1;fashion,1;gossip,1
alimont;health,1
alin;politics,11
aliph;health,3
alis;beauty,1
alison;politics,11
aliyev;politics,22
alk;health,16
alkalin;nature,4;technology,1
alkaloid;health,1
alkort;football,33
alkoxid;health,8
alkoxy;health,1
alkuh;health,1
alkyl;health,15
alkyn;health,1
allah;gossip,4
allamandol;nature,2
allanal;football,22
alleg;art,8;beauty,3;gossip,1;politics,143;university,1
allegy;beauty,1;politics,11;university,1
allenpress;health,2
allergy;health,1
allerton;nature,1
allevy;nature,1;university,1
alley;basketball,1
alleyway;basketball,1
allgemein;politics,11
allig;technology,1
allison;technology,1
allm;basketball,1
allmovy;films,1
alloc;politics,11;university,2
allometry;nature,1
allot;art,1;basketball,1
allov;art,4
allow;art,2;basketball,13;beauty,6;fashion,8;films,24;gossip,4;health,9;nature,15;politics,11;technology,41;travel,4;university,18
alloy;technology,12
allud;art,1;gossip,1;technology,1
allyl;health,2
allyn;politics,11
allègr;nature,1
alm;art,3;gossip,8;nature,1;university,1
almanac;beauty,1;university,1
almaty;travel,1
almazbek;politics,22
almeid;health,1
almost;art,1;basketball,5;beauty,6;fashion,2;films,8;health,4;nature,3;politics,44;technology,9;university,4
alo;politics,22
alon;art,3;basketball,1;beauty,1;films,1;gossip,4;nature,1;politics,22;technology,1;university,2
