tweetID;numberOfRetweet;numberOfFavorites;spam_score;positive_score;negative_score;neutral_score;user_credibility;tweet_rumor_score
796463366575423488;0.00;0.00;0.00;0.01;0.61;0.37;0.69;0.69
796463366386520064;0.00;0.00;0.00;0.00;0.99;0.01;0.60;0.60
796463366353145860;0.00;0.00;0.00;0.00;0.99;0.01;0.56;0.67
796463366340571136;5.00;0.00;0.00;0.01;0.94;0.05;0.43;0.59
796463366336352260;4.00;0.00;0.00;0.01;0.28;0.71;0.49;0.48
796463366307008513;155.00;0.00;0.00;0.00;0.74;0.25;0.73;0.62
796463366298402816;0.00;0.00;0.00;0.02;0.97;0.01;0.59;0.81
796463366286016512;8566.00;0.00;0.02;0.01;0.81;0.18;0.51;0.38
796463366273454080;96.00;0.00;0.00;0.02;0.88;0.10;0.79;0.40
796463366256685056;0.00;0.00;0.00;0.00;1.00;0.00;0.56;0.89
796463366239830016;0.00;0.00;0.00;0.00;0.85;0.15;0.46;0.39
796463366214537216;360.00;0.00;0.00;0.02;0.90;0.08;0.58;0.52
796463366210523137;12.00;0.00;0.00;0.01;0.36;0.64;0.62;0.81
796463366168576005;0.00;0.00;0.00;0.00;0.98;0.02;0.66;0.55
796463366160035840;1.00;0.00;0.00;0.00;1.00;0.00;0.77;0.76
796463366118195200;4.00;0.00;0.00;0.00;0.99;0.01;0.67;0.97
796463366105600001;2646.00;0.00;0.00;0.00;1.00;0.00;0.70;0.68
796463366067912704;347.00;0.00;0.00;0.00;0.85;0.15;0.39;0.71
796463366046945281;95534.00;0.00;0.00;0.00;0.97;0.02;0.47;0.34
796463366046744576;0.00;0.00;0.00;0.00;0.70;0.30;0.57;0.63
796463366017413120;29.00;0.00;0.00;0.00;0.87;0.13;0.42;0.29
796463366000754689;156.00;0.00;0.00;0.00;0.88;0.12;0.60;0.37
796463365975588864;4440.00;0.00;0.00;0.00;1.00;0.00;0.74;0.76
796463365954670592;0.00;0.00;0.00;0.01;0.97;0.02;0.68;0.56
796463365954662401;3118.00;0.00;0.00;0.00;0.98;0.02;0.58;0.60
