#3; 796381305491464192,1
#7f679eeea8de446; 796379639660720128,1
#affordablehousing; 796381609456898048,1
#afghanistan; 796381216257753088,1
#america; 796380300574126080,1;796381818819751936,1;796381847110434817,1;796382241328922626,1
#americaisoverparty; 796381343269736448,1;796381414581293056,1
#amerika; 796380578916417536,1;796380936531222528,1;796381620169297926,1;796381711093342208,1
#amerikkka; 796379643590885376,1
#angel189; 796379636867416064,1
#aus; 796382537308217345,1
#backtothefuture2; 796379632710860800,1
#barnet; 796379633822429185,1
#bestsellers; 796381305491464192,1
#bigdata; 796380804020576257,1;796382062018236419,1
#bodylanguage; 796380955992883201,1
#breakingnews; 796379634052931584,1;796379641053331456,1
#brexit; 796379638570319873,1
#business; 796380890578481153,1;796380892671393792,1;796382534200426498,1
#buzz; 796379644110905344,1
#calexit; 796379643364409344,1
#calltoarms; 796382532237488132,1
#canada; 796379637966311425,1;796379638570319873,1
#celebrity; 796379630387138560,1
#celebs; 796379637429346308,1;796379637672615936,1
#china; 796379638117396480,1;796381216257753088,1
#climate; 796380384313360384,1;796380470892105728,1;796380578132164608,1;796380639691948038,1;796380663721103360,1;796380699645317120,1;796380855593746432,1;796380942210371584,1;796380979745161217,1;796381085194194944,1;796382119853510658,1
#clinton; 796379633386065920,1;796379639258185728,1;796379644190605312,1;796380578916417536,1;796380936531222528,1;796381620169297926,1;796381711093342208,1;796382134059446273,1
#clintonvstrump; 796380578916417536,1;796380936531222528,1;796381620169297926,1;796381711093342208,1
#clothing; 796381305491464192,1
#cnnele; 796379639191130112,1
#coal; 796379631997878273,1
#coffee; 796381325271961604,1
#criminals; 796379633587359744,1
#d; 796379632798863360,1
#dac2016; 796379631960129536,1
#dapgone; 796381146833649664,1;796381442620198914,1
#darkhour; 796382532237488132,1
#davidduke; 796379634971459584,3
#davis; 796379630139805698,1
#developer; 796380469537472513,1
#digibende; 796381897437966336,1
#dirtywassermanschultz; 796379633587359744,1
#dnyangahu; 796381534789963776,1
#doggie; 796381325271961604,1
#donald; 796380773272223745,1;796380780373176320,1
#donaldtrump; 796379636041138176,1;796379644920414208,1;796380634650472448,1;796380744839008256,1;796380955992883201,1;796380994093727745,1;796381477265174528,1;796381500245540864,1;796381539298750464,1;796382107987771393,1;796382112437846016,1;796382267329409024,1
#donaldtrumpforpresident; 796379636703764480,1
#drainthesw; 796379633809784836,1
#draintheswamp; 796379632224313346,1
#education; 796381609456898048,1
#elec; 796379642819178496,1;796380456493187073,1;796380792809279488,1;796381024762687489,1;796381326412836865,1;796381418452553729,1;796381834099773440,1;796381908246601728,1;796382351261573120,1;796382516768751616,1
#electio; 796382034197442560,1
#election; 796381216257753088,1;796381668470910976,1
#election2016; 796379633365159936,1;796379633587359744,1;796379634103357440,1;796379636485660672,1;796379636552859648,1;796379640772165632,1;796379643167186945,1;796379644652089345,1;796380354496069635,1;796381609456898048,1;796382006670196736,1;796382215198404608,1;796382241328922626,1;796382316931137536,1;796382385629777921,1;796382389073301505,1;796382409222750208,1
#electionday; 796379635810500608,1;796379641053331456,1;796379642747912192,1;796379643553128448,1;796379645717475328,1;796380288888602624,1;796380578916417536,1;796380936531222528,1;796381620169297926,1;796381687966011392,1;796381711093342208,1;796381830652063744,1;796382316931137536,1;796382435428667392,1
#electionmorningafter; 796380437165674496,1
#electionni; 796379641338466306,1
#electionnight; 796379631335182336,1;796379631397978114,1;796379631720931328,1;796379631880404992,1;796379633386065920,1;796379634480726017,1;796379635810500608,1;796379636041138176,1;796379636590583808,1;796379637052035072,1;796379637257555969,1;796379639853830145,1;796379641153847297,1;796379641703436289,1;796379641925828613,1;796379642773041152,1;796379642865352704,1;796379644727590912,1;796379645671337984,1;796380288888602624,1;796380352096989184,1;796380436318605312,1;796381013878460417,1;796381623885250561,1;796381669527875584,1;796381687966011392,1;796381721491030016,1;796381721923096577,1;796381830652063744,1;796381837874647041,1;796381883512877056,1;796381988542259200,1;796381990543065088,1;796382055441592320,1;796382215198404608,1;796382316931137536,1;796382385629777921,1
#electionresults; 796379637773373440,1;796380578916417536,1;796380936531222528,1;796381383153381377,1;796381620169297926,1;796381711093342208,1
#elections2016; 796379635810500608,1;796379637186183168,1;796379641153847297,1;796379642479329280,1;796379642747912192,1
#entertainment; 796379642001141760,1
#eu; 796381216257753088,1
#exit; 796379635361742849,1
#facingdownfears; 796381852101709824,1
#failed; 796379639258185728,1
#fashion; 796379637429346308,1
#fdlx; 796382534200426498,1
#feedly; 796380481033879554,1
#france; 796381216257753088,1
#funny; 796382291748671488,1
#gogreen18; 796381701450698752,1
#gossip; 796379630387138560,1;796379637672615936,1;796379644110905344,1
#gowhite; 796382409222750208,1
#hacker; 796380773272223745,1
#headline; 796380773272223745,1
#hesnotm; 796379630450184192,1
#hesnotmypresiden; 796379641153847297,1
#hesnotmypresident; 796379630785728516,1;796379634145300480,1;796379645348188160,1
#hillary; 796380578916417536,1;796380936531222528,1;796381620169297926,1;796381711093342208,1;796382134059446273,1
#hillaryforpriso; 796382055441592320,1
#hillaryforprison; 796381837874647041,1;796381988542259200,1
#history; 796379635785330689,1
#hollywood; 796380975299264512,1
#homeless; 796381609456898048,1
#i; 796379645901873152,1
#immigrationcanada; 796381818819751936,1
